Number Index,Player,Year,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
244,Jerryd Bayless,2008,November,6,4.7,1.0,0.3,0.8,0.4,0.0,0.2,0.0,0.3,0.5,0.667,0.2,0.8,1.0,0.8,0.8,0.2,0.0,0.2,3.1,0,0,0.3
244,Jerryd Bayless,2008,December,5,8.5,3.2,0.8,3.0,0.267,0.2,0.4,0.5,1.4,1.6,0.875,0.0,0.6,0.6,1.0,1.4,0.4,0.0,1.2,5.2,0,0,-0.4
244,Jerryd Bayless,2008,January,14,18.5,7.5,2.0,5.6,0.359,0.2,1.1,0.188,3.3,3.8,0.868,0.1,1.4,1.5,1.9,0.9,0.5,0.1,2.4,12.9,0,0,1.1
244,Jerryd Bayless,2008,February,10,17.1,6.6,2.3,4.7,0.489,0.3,0.7,0.429,1.7,2.1,0.81,0.4,1.0,1.4,3.1,1.4,0.5,0.0,2.3,13.0,0,0,0.7
244,Jerryd Bayless,2008,March,14,8.3,1.7,0.5,1.9,0.269,0.0,0.1,0.0,0.7,1.0,0.714,0.1,0.6,0.6,0.5,1.1,0.1,0.1,1.1,2.6,0,0,-3.8
244,Jerryd Bayless,2008,April,3,7.8,2.7,1.3,4.3,0.308,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.7,1.3,0.0,0.0,0.0,0.0,5.5,0,0,1.7
255,Michael Beasley,2008,October,2,27.2,13.0,5.5,14.5,0.379,0.5,3.0,0.167,1.5,2.0,0.75,1.5,5.0,6.5,0.0,1.5,0.5,0.5,1.5,22.3,0,0,-0.5
255,Michael Beasley,2008,November,15,29.0,14.6,5.9,12.8,0.458,0.5,1.1,0.412,2.4,2.9,0.837,1.7,3.5,5.2,1.3,2.1,0.8,0.5,2.9,24.8,0,0,1.3
255,Michael Beasley,2008,December,12,19.5,11.0,4.3,10.1,0.43,0.1,0.4,0.2,2.3,3.2,0.711,1.6,2.7,4.3,0.4,2.0,0.3,0.6,2.4,17.2,0,0,-5.3
255,Michael Beasley,2008,January,16,24.0,13.9,5.5,11.9,0.461,0.6,1.3,0.45,2.4,3.3,0.717,1.1,5.6,6.6,0.9,1.3,0.5,0.3,2.3,24.4,5,0,1.9
255,Michael Beasley,2008,February,12,22.7,13.0,5.4,11.3,0.481,0.4,0.8,0.5,1.8,2.1,0.84,0.8,3.2,4.0,0.7,1.3,0.3,0.5,2.0,19.7,0,0,-2.8
255,Michael Beasley,2008,March,16,23.7,12.6,5.0,10.4,0.482,0.1,0.4,0.286,2.5,3.1,0.816,1.4,3.3,4.6,1.4,1.0,0.4,0.3,1.8,21.4,0,0,0.7
255,Michael Beasley,2008,April,8,31.3,20.6,8.5,15.4,0.553,1.0,2.0,0.5,2.6,3.6,0.724,1.8,6.9,8.6,1.6,1.4,1.0,0.6,2.4,36.9,3,0,5.4
266,Marco Belinelli,2008,November,11,7.2,3.0,1.3,2.6,0.483,0.5,1.1,0.417,0.0,0.2,0.0,0.1,0.4,0.5,0.5,0.3,0.3,0.0,0.6,4.8,0,0,-0.5
266,Marco Belinelli,2008,December,15,30.1,14.1,5.3,11.7,0.449,1.9,4.9,0.384,1.7,1.9,0.897,0.4,2.2,2.6,3.2,2.1,1.0,0.0,2.3,23.0,0,0,-2.5
