Date,Team,Acquired,Relinquised,Injury part,Descriptive Verb,##,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS,&&,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
2011/3/3,Celtics,,Glen Davis,knee/,tendinitis/,##,February,11,26.9,9.4,3.3,8.4,0.391,0.0,0.3,0.0,2.8,3.7,0.756,1.2,3.8,5.0,0.6,1.4,1.3,0.5,3.5,20.4,1,0,-2.6,&&,March,12,28.9,13.1,5.2,11.0,0.47,0.0,0.1,0.0,2.8,4.1,0.673,1.9,5.5,7.4,0.3,1.0,0.8,0.2,2.8,24.5,1,0,0.0
2011/3/3,Thunder,,Nate Robinson,knee/,surgery/,##,February,8,12.3,3.5,1.4,4.1,0.333,0.4,2.4,0.158,0.4,0.4,1.0,0.1,1.3,1.4,0.8,0.9,1.0,0.0,1.8,8.4,0,0,0.1,&&,March,2,4.5,3.0,1.0,2.0,0.5,0.5,1.5,0.333,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.5,4.4,0,0,-0.5
2011/3/7,Suns,,Channing Frye,shoulder/,dislocate/,##,February,12,34.7,16.3,6.3,13.3,0.469,3.0,6.8,0.439,0.8,1.1,0.692,1.3,7.1,8.4,0.8,0.7,0.4,0.9,3.3,30.8,4,0,8.6,&&,March,11,35.7,14.5,5.0,11.5,0.437,2.4,6.2,0.382,2.2,2.5,0.889,0.9,7.0,7.9,1.6,1.3,0.5,1.1,3.2,30.1,2,0,-1.5
2011/3/15,Rockets,,Terrence Williams,abdomen/,surgery/,##,February,2,8.9,4.0,2.0,6.0,0.333,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,6.9,0,0,-6.5,&&,March,3,4.8,1.7,0.7,2.0,0.333,0.0,0.3,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.7,0.3,0.0,0.7,2.5,0,0,-5.7
2011/3/21,Heat,,Mario Chalmers,knee/,sprained/,##,February,12,26.0,7.8,3.0,6.2,0.486,1.0,3.1,0.324,0.8,1.0,0.833,0.2,2.4,2.6,2.4,1.0,1.4,0.2,2.5,18.3,0,0,4.9,&&,March,10,23.7,6.3,2.2,5.5,0.4,1.2,2.9,0.414,0.7,0.9,0.778,0.1,2.0,2.1,2.8,1.5,1.1,0.0,2.3,14.8,0,0,3.7
2011/3/21,Spurs,,Tim Duncan,ankle/,sprained/,##,February,12,27.4,13.2,5.6,10.9,0.511,0.0,0.1,0.0,2.0,3.3,0.615,1.9,6.2,8.1,2.0,1.1,0.5,2.3,1.5,33.3,4,0,6.8,&&,March,11,25.7,12.6,5.0,9.4,0.534,0.0,0.2,0.0,2.6,3.5,0.763,1.6,6.7,8.4,1.6,1.5,0.8,1.3,1.5,29.9,4,0,3.5
2011/3/31,Bobcats,,Joel Przybilla,knee/tendon/,surgery/torn/,##,February,11,17.9,1.5,0.5,1.2,0.462,0.0,0.0,0.0,0.4,0.9,0.4,0.7,3.6,4.4,0.5,0.8,0.1,0.8,2.2,9.3,0,0,-2.0,&&,March,4,15.0,2.3,1.0,2.0,0.5,0.0,0.0,0.0,0.3,1.0,0.25,1.8,2.8,4.5,0.0,1.5,0.0,0.3,3.0,6.9,0,0,-6.3
2011/4/11,Nets,,Deron Williams,wrist/,surgery/scar/,##,March,6,38.8,16.3,5.0,15.0,0.333,2.2,6.0,0.361,4.2,4.7,0.893,0.8,4.0,4.8,11.0,4.0,1.3,0.2,3.5,39.1,2,0,0.0,&&,April,3,35.5,13.3,5.3,13.3,0.4,0.7,3.7,0.182,2.0,3.3,0.6,0.7,3.3,4.0,13.3,2.0,1.0,0.3,2.3,40.1,2,0,-10.7
2011/4/12,Bucks,,Andrew Bogut,elbow/,surgery/scar/,##,March,12,33.8,14.8,6.8,12.2,0.555,0.0,0.0,0.0,1.3,2.0,0.625,2.8,7.4,10.2,2.3,3.0,1.0,1.9,2.9,36.1,4,0,2.9,&&,April,4,33.9,8.5,3.8,8.3,0.455,0.0,0.3,0.0,1.0,2.0,0.5,2.0,6.3,8.3,2.0,0.5,1.3,1.8,4.3,29.9,1,0,0.0
2011/4/12,Lakers,,Andrew Bynum,knee/,hyperextended/,##,March,11,31.2,12.7,4.8,7.5,0.646,0.0,0.0,0.0,3.1,4.4,0.708,4.5,8.7,13.3,1.5,1.2,0.4,2.5,2.8,38.1,7,0,6.6,&&,April,7,31.3,9.0,3.6,6.6,0.543,0.0,0.0,0.0,1.9,3.7,0.5,2.9,9.1,12.0,1.6,1.7,0.9,2.1,2.4,33.0,3,0,-4.1
