2012/12/23,Jazz,,Mo Williams,thumb/,sprained/
2013/1/2,Jazz,,Mo Williams,thumb/,surgery/
2013/1/10,Cavaliers,,Anderson Varejao,muscle/knee/,surgery/torn/
2013/1/12,Timberwolves,,Malcolm Lee,hip/knee/,surgery/
2013/1/14,Spurs,,Manu Ginobili,hamstring/,strained/
2013/1/15,Timberwolves,,Kevin Love,hand/finger/,surgery/fracture/
2013/1/17,Timberwolves,,Malcolm Lee,hip/knee/,surgery/
2013/1/21,Cavaliers,,Anderson Varejao,lung/,blood clot/
2013/1/23,Lakers,,Jordan Hill,hip/,surgery/fracture/damage/torn/
2013/1/28,Nets,,Tornike Shengelia,concussion/,
2013/1/30,Magic,,Glen Davis,foot/,fracture/
2013/2/5,76ers,,Thaddeus Young,hamstring/,strained/
2013/2/6,Lakers,,Pau Gasol,foot/,plantar fasci/torn/
2013/2/7,Hawks,,Lou Williams,knee/,surgery/torn/
2013/2/8,76ers,,Jason Richardson,knee/,surgery/
2013/2/12,Celtics,,Leandro Barbosa,knee/,torn/
2013/2/13,Celtics,,Rajon Rondo,knee/,surgery/torn/
2013/2/24,Cavaliers,,Omri Casspi,appendectomy/,
2013/3/7,Bobcats,,Ramon Sessions,knee/,sprained/
2013/3/7,Hornets,,Austin Rivers,hand/,fracture/
2013/3/7,Suns,,Marcin Gortat,foot/,sprained/
2013/3/11,Cavaliers,,Kyrie Irving,shoulder/,sprained/
2013/3/14,Lakers,,Kobe Bryant,ankle/,sprained/
2013/3/17,Mavericks,,Rodrigue Beaubois,hand/,fracture/
2013/3/18,76ers,,Andrew Bynum,knee/,surgery/
2013/3/21,Bobcats,,Brendan Haywood,foot/,fracture/
2013/3/23,Magic,,Arron Afflalo,hamstring/,strained/
2013/3/27,Jazz,,Enes Kanter,shoulder/,dislocate/
2013/3/27,Lakers,,Metta World Peace,knee/,torn/
2013/3/28,Lakers,,Metta World Peace,knee/,surgery/torn/
2013/4/3,Hawks,,Zaza Pachulia,Achilles/tendon/,surgery/
2013/4/4,Pacers,,Danny Granger,knee/,surgery/
2013/4/5,Nuggets,,Danilo Gallinari,knee/,torn/
2013/4/10,Jazz,,Enes Kanter,shoulder/,surgery/dislocate/
2013/4/10,Timberwolves,,Kevin Love,knee/,surgery/scar/
2013/4/11,Hornets,,Anthony Davis,knee/,sprained/bruise/
2013/4/12,Lakers,,Kobe Bryant,Achilles/tendon/,torn/
2013/4/13,Lakers,,Kobe Bryant,Achilles/tendon/,surgery/torn/
2013/4/21,Warriors,,David Lee,hip/,torn/
2013/4/26,Thunder,,Russell Westbrook,knee/,torn/
2013/4/30,Nuggets,,Danilo Gallinari,knee/,surgery/damage/
2013/5/6,Celtics,,Jason Terry,knee/,surgery/
2013/5/10,Lakers,,Pau Gasol,knee/,scar/
2013/5/10,Pelicans,,Eric Gordon,ankle/,surgery/scar/
2013/5/30,Blazers,,Wesley Matthews,elbow/,surgery/
2013/5/30,Rockets,,Carlos Delfino,foot/,surgery/fracture/
2013/5/30,Warriors,,David Lee,hip/,surgery/torn/
2013/5/31,Jazz,,Marvin Williams,Achilles/heel/tendon/,surgery/
2013/6/3,Nuggets,,Danilo Gallinari,knee/,surgery/torn/
2013/6/13,Warriors,,Festus Ezeli,knee/,surgery/sprained/
2013/6/25,Nets,,Brook Lopez,foot/,surgery/
2013/7/12,Mavericks,,Shane Larkin,ankle/,fracture/
2013/7/12,Suns,,Alex Len,ankle/,surgery/fracture/
2013/7/16,Mavericks,,Shane Larkin,ankle/,surgery/fracture/
2013/8/1,Pacers,,Chris Copeland,knee/,surgery/
2013/9/9,Pelicans,,Darius Miller,foot/,surgery/fracture/
2013/9/18,Wizards,,Chris Singleton,foot/,surgery/
2013/9/18,Wizards,,Emeka Okafor,hernia/neck/,herniated disc/
2013/9/19,Wizards,,Chris Singleton,foot/,surgery/fracture/
2013/9/27,76ers,,Arnett Moultrie,ankle/,surgery/
2013/9/27,Timberwolves,,Chase Budinger,knee/,damage/
2013/10/1,Thunder,,Russell Westbrook,knee/,surgery/
2013/10/8,Hawks,,Gustavo Ayon,rotator/,strained/
2013/10/10,Bobcats,,Brendan Haywood,foot/,fracture/
2013/10/10,Mavericks,,Brandan Wright,shoulder/,surgery/fracture/
2013/10/10,Pistons,,Rodney Stuckey,thumb/,fracture/
2013/10/11,Bucks,,Ekpe Udoh,knee/,surgery/
2013/10/11,Pistons,,Rodney Stuckey,thumb/,surgery/fracture/
2013/10/12,Bobcats,,Cody Zeller,appendectomy/,
2013/10/12,Jazz,,Trey Burke,finger/,fracture/
2013/10/15,Jazz,,Trey Burke,finger/,surgery/fracture/
